date,close,volume,open,high,low
8/11/2016,156.6,405339,157.81,158.881,155.87
8/10/2016,157.6,808308,152.11,157.71,151.02
8/9/2016,152.11,828793,156.19,156.21,151.96
8/8/2016,155.46,2340941,148.31,157.95,148.31
8/5/2016,143.97,171727,144.88,144.894,143.59
8/4/2016,143.88,244180,142.92,144.58,142.92
8/3/2016,142.6,231402,143.31,143.43,142.05
8/2/2016,143.5,302735,143.23,143.65,142.04
8/1/2016,143.2,172168,142.91,143.8,142.195
7/29/2016,143.07,234702,143.11,144.0099,142.13
7/28/2016,143.37,355593,141.54,143.62,141.23
7/27/2016,141.77,290607,143.64,143.64,140.735
7/26/2016,142.8,269498,144.66,144.92,142.5
7/25/2016,144.32,581523,144.67,145.07,144.04
7/22/2016,144.53,330393,144.03,144.9,143.45
7/21/2016,143.54,140480,144.56,144.7458,142.88
7/20/2016,144.31,338503,144.41,144.79,143.8
7/19/2016,143.93,239632,143.96,144.59,143.59
7/18/2016,143.57,261726,144.11,144.71,143.21
7/15/2016,143.94,264938,144.15,144.64,143.3
7/14/2016,143.58,280082,144.72,145.0799,143.54
7/13/2016,143.79,368434,144.55,144.96,143.66
7/12/2016,144.8,409651,143.5,145.38,143.38
7/11/2016,142.65,356219,140.33,143.54,140.33
7/8/2016,140.23,209326,140.16,140.78,139.77
7/7/2016,139.6,245395,138.89,139.82,138.81
7/6/2016,138.7,525632,138.14,139.27,137.53
7/5/2016,138.33,290969,138.54,139,137.38
7/1/2016,138.72,264943,138.41,139.83,138.35
6/30/2016,138.23,548564,136.44,138.69,136.37
6/29/2016,135.78,268694,135.53,137.02,135.53
6/28/2016,134.34,428532,135.02,135.28,132.65
6/27/2016,133.7,528002,133.96,136.16,133.03
6/24/2016,135.43,3204516,136.31,140.38,134.71
6/23/2016,140.86,395635,139.69,140.86,139
6/22/2016,138.47,466008,137.05,139.55,136.9
6/21/2016,136.92,433268,137.88,137.88,135.692
6/20/2016,137.31,442381,138.17,138.17,136.23
6/17/2016,136.1,373684,138.16,138.16,135.32
6/16/2016,137.79,189537,136.86,138.01,136.68
6/15/2016,138.07,326485,138.05,139.62,137.96
6/14/2016,137.96,407816,138.88,139.28,137.48
6/13/2016,139.38,419777,141.97,142.61,139.12
6/10/2016,142.52,569383,139.35,143.09,139.06
6/9/2016,139.2,735487,137.8,140.34,133.05
6/8/2016,135.24,446058,135.34,135.65,134.12
6/7/2016,135.43,365692,133.94,135.83,133.63
6/6/2016,133.34,193928,133.81,134.24,132.31
6/3/2016,134.02,425678,133.6,134.8,131.46
6/2/2016,133.68,263774,130.98,133.71,130.98
6/1/2016,131.45,184893,131.08,132.79,130.83
5/31/2016,131.25,155366,130.76,131.54,129.745
5/27/2016,130.42,94329,129.28,130.68,129.28
5/26/2016,129.31,155162,129.57,129.63,128.8
5/25/2016,129.21,154052,128.96,129.55,128.55
5/24/2016,129.03,151910,127.71,129.25,127.54
5/23/2016,126.94,150101,126.43,127.75,125.625
5/20/2016,126.32,162875,125.54,126.94,124.62
5/19/2016,125.4,165229,125.55,126.29,124.22
5/18/2016,125.98,211885,125.31,126.51,124
5/17/2016,125.74,278720,127.96,128.08,125.23
5/16/2016,128.28,165692,127.52,128.49,126.91
5/13/2016,127.6,168784,128.57,129.22,127.03
5/12/2016,128.82,157763,128.42,129.14,127.16
5/11/2016,127.77,242674,131.81,131.81,127.66
5/10/2016,132.32,233138,130.77,132.545,130.26
5/9/2016,130.05,210616,130.5,131.42,129.63
